h,g,f,alvo_x,alvo_y,alvo_z,choque0,choque1,choque2,choque3,choque4,choque5,acao0,acao1,acao2,acao3,acao4,acao5
21,30,20,11,23,30,0,0,1,0,0,0,0,0,0,0,0,1
20,30,20,11,23,30,0,0,1,0,0,0,0,0,0,0,0,1
19,30,20,11,23,30,0,0,1,0,0,0,0,0,0,0,0,1
18,30,20,11,23,30,0,0,1,0,0,0,0,0,0,0,0,1
17,30,20,11,23,30,0,0,1,0,0,0,0,0,0,0,0,1
16,30,20,11,23,30,0,0,1,0,0,0,0,0,0,0,0,1
15,30,20,11,23,30,0,0,1,0,0,0,0,0,0,0,0,1
14,30,20,11,23,30,0,0,1,0,0,0,0,0,0,1,0,0
14,29,20,11,23,30,0,0,0,0,0,0,0,0,0,1,0,0
14,28,20,11,23,30,0,0,0,0,0,0,0,0,0,0,0,1
13,28,20,11,23,30,0,0,0,0,0,0,0,0,0,1,0,0
13,27,20,11,23,30,0,0,0,0,0,0,0,0,0,1,0,0
13,26,20,11,23,30,0,0,0,0,0,0,0,0,0,0,0,1
12,26,20,11,23,30,0,0,0,0,0,0,0,0,0,1,0,0
12,25,20,11,23,30,0,0,0,0,0,0,0,0,0,1,0,0
12,24,20,11,23,30,0,0,0,0,0,0,0,0,0,1,0,0
12,23,20,11,23,30,0,0,0,0,0,0,1,0,0,0,0,0
12,23,21,11,23,30,0,0,0,0,0,0,1,0,0,0,0,0
12,23,22,11,23,30,0,0,0,0,0,0,1,0,0,0,0,0
12,23,23,11,23,30,0,0,0,0,0,0,1,0,0,0,0,0
12,23,24,11,23,30,0,0,0,0,0,0,1,0,0,0,0,0
12,23,25,11,23,30,0,0,0,0,0,0,1,0,0,0,0,0
12,23,26,11,23,30,0,0,0,0,0,0,1,0,0,0,0,0
12,23,27,11,23,30,0,0,0,0,0,0,1,0,0,0,0,0
12,23,28,11,23,30,0,0,0,0,0,0,1,0,0,0,0,0
12,23,29,11,23,30,0,0,0,0,0,0,1,0,0,0,0,0
12,23,30,11,23,30,1,0,0,0,0,0,0,0,0,0,0,1
